movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres
14836,Coraline,2009-02-06,60000000,185860104,100,7.897,8697,16.4137,"['Animation', 'Family', 'Fantasy']"
15121,The Sound of Music,1965-03-29,8200000,286214286,174,7.725,3504,12.3227,"['Drama', 'Family', 'Music', 'Romance']"
15244,A Man Escaped,1956-11-11,0,0,101,7.947,589,1.3804,"['Drama', 'Thriller']"
15383,Army of Shadows,1969-09-10,0,906133,145,7.902,713,2.2698,"['War', 'Drama', 'Thriller']"
15462,Car Wash,1976-10-22,0,0,97,5.9,119,14.2997,"['Comedy', 'Drama', 'Romance']"
15804,A Brighter Summer Day,1991-07-27,0,0,237,8.3,366,3.1992,"['Crime', 'Drama', 'Romance']"
16237,Teen Titans: Trouble in Tokyo,2006-09-15,0,0,75,7.869,444,1.9465,"['Animation', 'Action', 'Science Fiction', 'TV Movie']"
16672,Woman in the Dunes,1964-02-15,0,0,147,8.2,500,2.9239,"['Drama', 'Thriller']"
16869,Inglourious Basterds,2009-08-02,70000000,321457747,153,8.215,23533,14.2176,"['Drama', 'Thriller', 'War']"
17295,The Battle of Algiers,1966-09-08,800000,964028,121,7.883,846,1.5781,"['Drama', 'War', 'History']"
18148,Tokyo Story,1953-11-03,0,0,137,8.163,1169,2.7519,['Drama']
18438,Castaway on the Moon,2009-05-14,0,0,119,7.925,718,2.4618,"['Drama', 'Comedy', 'Romance']"
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,0,20563523,87,8.3,1760,6.9704,"['Animation', 'Science Fiction', 'Drama', 'Fantasy']"
19404,Dilwale Dulhania Le Jayenge,1995-10-20,13200000,100000000,190,8.515,4532,7.2818,"['Comedy', 'Drama', 'Romance']"
19426,Nights of Cabiria,1957-10-03,0,752045,110,7.988,829,1.6423,['Drama']
19542,The Red Shoes,1948-09-06,500000,10000000,133,8.0,719,3.6464,"['Drama', 'Romance']"
19995,Avatar,2009-12-16,237000000,2923706026,162,7.598,33096,105.833,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
20271,Divorce Italian Style,1961-12-20,0,0,104,7.88,511,0.9529,"['Comedy', 'Crime']"
20334,The Shop Around the Corner,1940-01-12,500000,0,99,8.089,796,2.0741,"['Comedy', 'Drama', 'Romance']"
20453,3 Idiots,2009-12-23,9000000,70000000,171,8.0,2595,7.4397,"['Drama', 'Comedy']"
20530,Late Spring,1949-09-13,0,0,108,8.011,453,1.9483,['Drama']
20532,Sansho the Bailiff,1954-03-31,0,0,124,8.079,411,1.5538,['Drama']
20722,La Maison en Petits Cubes,2008-06-10,0,0,12,7.908,448,0.9894,['Animation']
20766,The Road,2009-11-25,32000000,27635305,111,7.013,4123,21.5255,"['Adventure', 'Drama']"
20803,Ivan Vasilyevich Changes His Profession,1973-09-17,0,0,93,7.915,386,2.8961,"['Comedy', 'Science Fiction']"
20914,My Friends,1975-10-24,0,0,140,8.124,729,4.9953,['Comedy']
20941,Innocent Voices,2005-01-28,0,837000,120,8.2,508,4.9494,"['Drama', 'War']"
21334,Children of Heaven,1997-08-01,180000,925402,88,7.915,687,2.1625,"['Drama', 'Family']"
21634,Prayers for Bobby,2009-01-24,0,0,89,8.059,614,1.2742,"['Drama', 'History', 'TV Movie']"
23282,One Week,1920-08-29,0,0,25,7.913,305,2.8043,['Comedy']
