movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
843,In the Mood for Love,2000-09-29,3000000,15867968,99,8.091,3106,10.3547,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
854,The Mask,1994-07-29,23000000,351583407,101,6.974,10906,14.7361,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
857,Saving Private Ryan,1998-07-24,70000000,481840909,169,8.221,16740,13.5092,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
862,Toy Story,1995-11-22,30000000,401157969,81,7.97,19392,22.3688,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
863,Toy Story 2,1999-10-30,90000000,497375404,92,7.604,14534,13.7301,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
869,Planet of the Apes,2001-07-27,100000000,362211740,120,5.763,4292,12.8777,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
872,Singin' in the Rain,1952-04-10,2540800,7200000,103,8.14,3377,4.7271,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
901,City Lights,1931-02-06,1500000,4250000,87,8.263,2365,2.7327,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
914,The Great Dictator,1940-10-15,2000000,11000000,125,8.3,3574,2.4778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,1800000,9500000,95,8.125,5970,5.0456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
938,For a Few Dollars More,1965-12-18,600000,15000000,132,8.0,4275,6.9693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
947,Lawrence of Arabia,1962-12-11,15000000,70000000,228,7.997,3281,6.0825,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
949,Heat,1995-12-15,60000000,187400000,170,7.926,7970,13.3537,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
